,Date,Dead,Description,Injured,Location,Total,dt,Suspects Dead,Suspects Injured,Year,Month,Day,City,State,loc,loc_name,loc_coords,lat,long,wrapped_descr,Location_
46,"May 12, 2017",4,"Kirkersville shooting: After taking two people hostage, a man shot and killed a police officer and two nurses at a nursing home before he killed himself.",0,"Kirkersville, Ohio",4,2017-05-12,0,0,2017,5,12,Kirkersville, Ohio,"Kirkersville, Harrison Township, Licking County, Ohio, 43033, USA","Kirkersville, Harrison Township, Licking County, Ohio, 43033, USA","(39.9595081, -82.5957182)",39.9595081,-82.5957182,"Kirkersville
shooting: After
taking two people
hostage, a man shot
and killed a police
officer and two
nurses at a nursing
home before he
killed himself.","Kirkersville, Ohio"
47,"April 13
–April 18, 2017",4,"2017 Fresno shootings: A man killed a security guard at a hotel, then killed three other people five days later. The attacks, committed against white people by a black suspect, are believed to have been racially motivated and the suspect believed there was a race war taking place between white and black people. He was taken into custody by police.[55]",0,"Fresno, California",4,2017-04-13,0,0,2017,4,13,Fresno, California,"Fresno, Fresno County, California, USA","Fresno, Fresno County, California, USA","(36.7295295, -119.708861260756)",36.7295295,-119.708861260756,"2017 Fresno
shootings: A man
killed a security
guard at a hotel,
then killed three
other people five
days later. The
attacks, committed
against white people
by a black suspect,
are believed to have
been racially
motivated and the
suspect believed
there was a race war
taking place between
white and black
people. He was taken
into custody by
police.[55]","Fresno, California"
48,"April 10, 2017",3,"North Park Elementary School shooting: A man entered an elementary school, telling school administrators he needed to drop something off for his wife. He entered the classroom where she was teaching and killed her, also killing a student and wounding another who were standing nearby. He then killed himself.[56]",1,"San Bernardino, California",4,2017-04-10,1,0,2017,4,10,San Bernardino, California,"San Bernardino, San Bernardino County, California, USA","San Bernardino, San Bernardino County, California, USA","(34.1083449, -117.2897652)",34.1083449,-117.2897652,"North Park
Elementary School
shooting: A man
entered an
elementary school,
telling school
administrators he
needed to drop
something off for
his wife. He entered
the classroom where
she was teaching and
killed her, also
killing a student
and wounding another
who were standing
nearby. He then
killed himself.[56]","San Bernardino, California"
49,"March 26, 2017",2,Cincinnati nightclub shooting: Two men were killed and sixteen people were wounded after a fight escalated into a shooting at a crowded nightclub. One person was arrested.[57],16,"Cincinnati, Ohio",18,2017-03-26,0,0,2017,3,26,Cincinnati, Ohio,"Cincinnati, Hamilton County, Ohio, USA","Cincinnati, Hamilton County, Ohio, USA","(39.1014537, -84.5124602)",39.1014537,-84.5124602,"Cincinnati nightclub
shooting: Two men
were killed and
sixteen people were
wounded after a
fight escalated into
a shooting at a
crowded nightclub.
One person was
arrested.[57]","Cincinnati, Ohio"
50,"March 22, 2017",5,"2017 Schofield/Rothschild shootings: A man demanded his wife sign divorce papers and after a confrontation, returned to her place of work and shot and killed four people before being killed by the police.[58]",0,"Schofield, Wisconsin and Rothschild, Wisconsin",5,2017-03-22,1,0,2017,3,22,Schofield, Wisconsin,"Rothschild-Schofield Aquatic Center, 1001, Park Street, Rothschild, Marathon County, Wisconsin, 54474, USA","Rothschild-Schofield Aquatic Center, 1001, Park Street, Rothschild, Marathon County, Wisconsin, 54474, USA","(44.8972857, -89.6159170788937)",44.8972857,-89.6159170788937,"2017
Schofield/Rothschild
shootings: A man
demanded his wife
sign divorce papers
and after a
confrontation,
returned to her
place of work and
shot and killed four
people before being
killed by the
police.[58]","Schofield, Wisconsin"
51,"January 6, 2017",5,"Fort Lauderdale airport shooting: A man killed five people and injured six in a shooting at Fort Lauderdale–Hollywood International Airport before running out of ammunition and laying on the ground to surrender to police. Thirty to forty other people were also hurt, with injuries not directly caused by gunfire.[59]",6,"Broward County, Florida",11,2017-01-06,0,0,2017,1,6,Broward County, Florida,"Broward County, Florida, USA","Broward County, Florida, USA","(26.1598074, -80.4623642)",26.1598074,-80.4623642,"Fort Lauderdale
airport shooting: A
man killed five
people and injured
six in a shooting at
Fort
Lauderdale–Hollywood
International
Airport before
running out of
ammunition and
laying on the ground
to surrender to
police. Thirty to
forty other people
were also hurt, with
injuries not
directly caused by
gunfire.[59]","Broward County, Florida"
52,"September 28, 2016",2,Townville Elementary School shooting: A fifteen-year-old shot and killed his father before driving to the local elementary school and injuring three students and a teacher. One student later died of his injuries. The shooter was later arrested.[60],3,"Townville, South Carolina",5,2016-09-28,0,0,2016,9,28,Townville, South Carolina,"Townville, Anderson County, South Carolina, 29689, USA","Townville, Anderson County, South Carolina, 29689, USA","(34.5637137, -82.8984775)",34.5637137,-82.8984775,"Townville Elementary
School shooting: A
fifteen-year-old
shot and killed his
father before
driving to the local
elementary school
and injuring three
students and a
teacher. One student
later died of his
injuries. The
shooter was later
arrested.[60]","Townville, South Carolina"
53,"September 23, 2016",5,Cascade Mall shooting: A man killed five people at the Cascade Mall. He was arrested a day later. The shooter later killed himself while in jail.[61],0,"Burlington, Washington",5,2016-09-23,0,0,2016,9,23,Burlington, Washington,"Burlington, Skagit County, Washington, 98233-3220, USA","Burlington, Skagit County, Washington, 98233-3220, USA","(48.4686745, -122.3293925)",48.4686745,-122.3293925,"Cascade Mall
shooting: A man
killed five people
at the Cascade Mall.
He was arrested a
day later. The
shooter later killed
himself while in
jail.[61]","Burlington, Washington"
54,"August 20, 2016",6,2016 Citronelle homicides: A man killed six people (including an unborn child) while they were sleeping in a home. He was arrested by police.[62],0,"Citronelle, Alabama",6,2016-08-20,5,0,2016,8,20,Citronelle, Alabama,"Citronelle, Mobile County, Alabama, 36522, USA","Citronelle, Mobile County, Alabama, 36522, USA","(31.0907338, -88.2280622)",31.0907338,-88.2280622,"2016 Citronelle
homicides: A man
killed six people
(including an unborn
child) while they
were sleeping in a
home. He was
arrested by
police.[62]","Citronelle, Alabama"
55,"July 30, 2016",3,2016 Mukilteo shooting: A student at the University of Washington killed three people and injured one other in a shooting at a party. One of the people he killed was his ex-girlfriend. The shooter was arrested and sentenced to life in prison.[63],1,"Mukilteo, Washington",4,2016-07-30,0,0,2016,7,30,Mukilteo, Washington,"Mukilteo, Snohomish County, Washington, 98275, USA","Mukilteo, Snohomish County, Washington, 98275, USA","(47.9474034, -122.3036992)",47.9474034,-122.3036992,"2016 Mukilteo
shooting: A student
at the University of
Washington killed
three people and
injured one other in
a shooting at a
party. One of the
people he killed was
his ex-girlfriend.
The shooter was
arrested and
sentenced to life in
prison.[63]","Mukilteo, Washington"
56,"July 17, 2016",4,"2016 shooting of Baton Rouge police officers: A gunman killed three law enforcement officers and injured three others. The gunman was killed by a member of the SWAT team that responded to the shooting. The shooting is believed to have been related to the unrest in Baton Rouge following the shooting of Alton Sterling, and the gunman was involved with black separatist and sovereign citizen organizations.[64][65]",3,"Baton Rouge, Louisiana",7,2016-07-17,1,0,2016,7,17,Baton Rouge, Louisiana,"Baton Rouge, East Baton Rouge Parish, Louisiana, USA","Baton Rouge, East Baton Rouge Parish, Louisiana, USA","(30.4459596, -91.18738)",30.4459596,-91.18738,"2016 shooting of
Baton Rouge police
officers: A gunman
killed three law
enforcement officers
and injured three
others. The gunman
was killed by a
member of the SWAT
team that responded
to the shooting. The
shooting is believed
to have been related
to the unrest in
Baton Rouge
following the
shooting of Alton
Sterling, and the
gunman was involved
with black
separatist and
sovereign citizen or
ganizations.[64][65]","Baton Rouge, Louisiana"
57,"July 11, 2016",3,St. Joseph courthouse shooting: A handcuffed inmate killed two bailiffs and injured a deputy and another woman after taking a deputy's gun in a courthouse. The inmate was killed by two other bailiffs.[66],2,"St. Joseph, Michigan",5,2016-07-11,1,0,2016,7,11,St. Joseph, Michigan,"Saint Joseph County, Michigan, USA","Saint Joseph County, Michigan, USA","(41.9031963, -85.5356726)",41.9031963,-85.5356726,"St. Joseph
courthouse shooting:
A handcuffed inmate
killed two bailiffs
and injured a deputy
and another woman
after taking a
deputy's gun in a
courthouse. The
inmate was killed by
two other
bailiffs.[66]","St. Joseph, Michigan"
58,"July 7, 2016",6,2016 shooting of Dallas police officers: A shooter killed five police officers and wounded nine other officers and two civilians at a protest over the police shootings of Alton Sterling and Philando Castile. The shooter was killed by a bomb delivered by a remote control vehicle. He is believed to have been motivated by retribution for black men killed by police.[67],11,"Dallas, Texas",17,2016-07-07,1,0,2016,7,7,Dallas, Texas,"Dallas, Dallas County, Texas, United States of America","Dallas, Dallas County, Texas, United States of America","(32.7762719, -96.7968559)",32.7762719,-96.7968559,"2016 shooting of
Dallas police
officers: A shooter
killed five police
officers and wounded
nine other officers
and two civilians at
a protest over the
police shootings of
Alton Sterling and
Philando Castile.
The shooter was
killed by a bomb
delivered by a
remote control
vehicle. He is
believed to have
been motivated by
retribution for
black men killed by
police.[67]","Dallas, Texas"
59,"June 12, 2016",50,"Orlando nightclub shooting: A gunman killed 49 people and wounded 53 others in a shooting at Pulse, a gay nightclub. The gunman was killed in a shootout with the police.[68]",53,"Orlando, Florida",103,2016-06-12,1,0,2016,6,12,Orlando, Florida,"Orlando, Orange County, Florida, USA","Orlando, Orange County, Florida, USA","(28.5421097, -81.3790388)",28.5421097,-81.3790388,"Orlando nightclub
shooting: A gunman
killed 49 people and
wounded 53 others in
a shooting at Pulse,
a gay nightclub. The
gunman was killed in
a shootout with the
police.[68]","Orlando, Florida"
60,"May 5
–May 6, 2016",3,2016 Maryland shooting spree: A federal officer shot and killed three people and injured three others in an attack that began with him killing his estranged wife.[69],3,"Beltsville and Bethesda, Maryland",6,2016-05-05,0,0,2016,5,5,Beltsville and Bethesda, Maryland,,"Beltsville and Bethesda, Maryland","(39.0375, -76.917778)",39.0375,-76.917778,"2016 Maryland
shooting spree: A
federal officer shot
and killed three
people and injured
three others in an
attack that began
with him killing his
estranged wife.[69]","Beltsville and Bethesda, Maryland"
61,"April 21
–April 22, 2016",8,"Pike County shootings: Eight people, all members of the same family, were killed. Bodies were found in four separate locations.[70]",0,"Pike County, Ohio",8,2016-04-21,0,0,2016,4,21,Pike County, Ohio,"Pike County, Ohio, USA","Pike County, Ohio, USA","(39.1056387, -83.0611404)",39.1056387,-83.0611404,"Pike County
shootings: Eight
people, all members
of the same family,
were killed. Bodies
were found in four
separate
locations.[70]","Pike County, Ohio"
62,"March 9, 2016",6,"2016 Wilkinsburg mass shooting: Six people (including an unborn child) were killed and three were injured by two gunmen in an attack during a backyard party. One person with a handgun drove the partygoers toward a backyard porch, where the second shot at them with an assault-style rifle.[71]",3,"Wilkinsburg, Pennsylvania",9,2016-03-09,5,0,2016,3,9,Wilkinsburg, Pennsylvania,"Wilkinsburg, Allegheny County, Pennsylvania, 15221, USA","Wilkinsburg, Allegheny County, Pennsylvania, 15221, USA","(40.4417355, -79.8819942)",40.4417355,-79.8819942,"2016 Wilkinsburg
mass shooting: Six
people (including an
unborn child) were
killed and three
were injured by two
gunmen in an attack
during a backyard
party. One person
with a handgun drove
the partygoers
toward a backyard
porch, where the
second shot at them
with an assault-
style rifle.[71]","Wilkinsburg, Pennsylvania"
63,"March 7-March 8, 2016",5,2016 Kansas-Missouri murder spree: Four people were killed at a home and another was shot and killed the following day. The perpetrator was arrested the next day.,0,"Kansas City, Kansas and Montgomery County, Missouri",5,2016-03-07,0,0,2016,3,7,Kansas City, Missouri,"Kansas City, Jackson County, Missouri, USA","Kansas City, Jackson County, Missouri, USA","(39.100105, -94.5781416)",39.100105,-94.5781416,"2016 Kansas-Missouri
murder spree: Four
people were killed
at a home and
another was shot and
killed the following
day. The perpetrator
was arrested the
next day.","Kansas City, Missouri"
64,"February 25, 2016",4,Hesston shooting: A man killed three people and injured fourteen others in an attack at his workplace. He had been served with a temporary order of protection shortly before he began shooting. He was killed by police who responded to the scene.[72],14,"Hesston and Newton, Kansas",18,2016-02-25,1,0,2016,2,25,Hesston and Newton, Kansas,,"Hesston and Newton, Kansas","(38.138333, -97.431389)",38.138333,-97.431389,"Hesston shooting: A
man killed three
people and injured
fourteen others in
an attack at his
workplace. He had
been served with a
temporary order of
protection shortly
before he began
shooting. He was
killed by police who
responded to the
scene.[72]","Hesston and Newton, Kansas"
65,"February 20, 2016",6,2016 Kalamazoo shootings: An Uber driver is suspected to have killed six people and wounded two others in a series of shootings targeting random people.[73],2,"Kalamazoo, Michigan",8,2016-02-20,0,0,2016,2,20,Kalamazoo, Michigan,"Kalamazoo, Kalamazoo County, Michigan, USA","Kalamazoo, Kalamazoo County, Michigan, USA","(42.291707, -85.5872286)",42.291707,-85.5872286,"2016 Kalamazoo
shootings: An Uber
driver is suspected
to have killed six
people and wounded
two others in a
series of shootings
targeting random
people.[73]","Kalamazoo, Michigan"
66,"December 2, 2015",16,"2015 San Bernardino attack: A married couple opened fire on the husband's colleagues at a work training event. They killed fourteen people and injured twenty-two before being killed in a shootout with police. Pipe bombs set at their residence failed to detonate. The two perpetrators are believed to have been radicalized, though not believed to have been directly connected to a specific foreign terrorist organization.[74]",22,"San Bernardino, California",38,2015-12-02,1,0,2015,12,2,San Bernardino, California,"San Bernardino, San Bernardino County, California, USA","San Bernardino, San Bernardino County, California, USA","(34.1083449, -117.2897652)",34.1083449,-117.2897652,"2015 San Bernardino
attack: A married
couple opened fire
on the husband's
colleagues at a work
training event. They
killed fourteen
people and injured
twenty-two before
being killed in a
shootout with
police. Pipe bombs
set at their
residence failed to
detonate. The two
perpetrators are
believed to have
been radicalized,
though not believed
to have been
directly connected
to a specific
foreign terrorist
organization.[74]","San Bernardino, California"
67,"November 29, 2015",3,Colorado Springs Planned Parenthood shooting: A man killed two civilians and a police officer and wounded nine others inside a Planned Parenthood clinic before surrendering to police. The shootings are suspected to have been motivated by the suspect's anti-abortion views.[75],9,"Colorado Springs, Colorado",12,2015-11-29,0,0,2015,11,29,Colorado Springs, Colorado,"Colorado Springs, El Paso County, Colorado, USA","Colorado Springs, El Paso County, Colorado, USA","(38.8339578, -104.8253485)",38.8339578,-104.8253485,"Colorado Springs
Planned Parenthood
shooting: A man
killed two civilians
and a police officer
and wounded nine
others inside a
Planned Parenthood
clinic before
surrendering to
police. The
shootings are
suspected to have
been motivated by
the suspect's anti-
abortion views.[75]","Colorado Springs, Colorado"
68,"November 23, 2015",0,"Shooting of protesters at a Black Lives Matter protest: During a Black Lives Matter protest related to the shooting of Jamar Clark, a man opened fire and injured five protestors. The perpetrator was later arrested.[76]",5,"Minneapolis, Minnesota",5,2015-11-23,0,0,2015,11,23,Minneapolis, Minnesota,"Minneapolis, Hennepin County, Minnesota, USA","Minneapolis, Hennepin County, Minnesota, USA","(44.9706705, -93.268217735811)",44.9706705,-93.268217735811,"Shooting of
protesters at a
Black Lives Matter
protest: During a
Black Lives Matter
protest related to
the shooting of
Jamar Clark, a man
opened fire and
injured five
protestors. The
perpetrator was
later arrested.[76]","Minneapolis, Minnesota"
69,"October 1, 2015",10,"Umpqua Community College shooting: A student at Umpqua Community College killed nine people and injured eight others on the college campus. After being wounded by police officers, he killed himself.[77]",8,"Roseburg, Oregon",18,2015-10-01,1,0,2015,10,1,Roseburg, Oregon,"Roseburg, Douglas County, Oregon, USA","Roseburg, Douglas County, Oregon, USA","(43.216505, -123.3417381)",43.216505,-123.3417381,"Umpqua Community
College shooting: A
student at Umpqua
Community College
killed nine people
and injured eight
others on the
college campus.
After being wounded
by police officers,
he killed
himself.[77]","Roseburg, Oregon"
70,"August 8, 2015",8,"2015 Harris County shooting: A man broke into his ex-girlfriend's home and held her hostage along with her husband and six children, one of whom was his son. Over the course of nine hours, he killed everyone in the home. After a shootout with police, he surrendered and was taken into custody.[78]",0,"Harris County, Texas",8,2015-08-08,0,0,2015,8,8,Harris County, Texas,"Harris County, Texas, USA","Harris County, Texas, USA","(29.8119769, -95.3741247)",29.8119769,-95.3741247,"2015 Harris County
shooting: A man
broke into his ex-
girlfriend's home
and held her hostage
along with her
husband and six
children, one of
whom was his son.
Over the course of
nine hours, he
killed everyone in
the home. After a
shootout with
police, he
surrendered and was
taken into
custody.[78]","Harris County, Texas"
71,"July 23, 2015",3,"2015 Lafayette shooting: A gunman killed two people and injured nine in a shooting at a movie theater. After trying to blend into the crowd leaving the theater, the gunman heard sirens, returned to the theater, and killed himself.[79]",9,"Lafayette, Louisiana",12,2015-07-23,1,0,2015,7,23,Lafayette, Louisiana,"Lafayette, Lafayette Parish, Louisiana, USA","Lafayette, Lafayette Parish, Louisiana, USA","(30.2240897, -92.0198427)",30.2240897,-92.0198427,"2015 Lafayette
shooting: A gunman
killed two people
and injured nine in
a shooting at a
movie theater. After
trying to blend into
the crowd leaving
the theater, the
gunman heard sirens,
returned to the
theater, and killed
himself.[79]","Lafayette, Louisiana"
72,"July 16, 2015",6,"2015 Chattanooga shootings: A man committed a drive-by shooting at a military recruitment center in a strip mall, wounding one Marine. With police in pursuit, he drove to a U.S. Navy Reserve center and rammed his vehicle through a gate. He fatally wounded a Navy sailor, killed four Marines, and wounded a police officer before being killed by police.[80] The FBI later determined the gunman had been motivated by propaganda published by terrorist organizations.[81]",1,"Chattanooga, Tennessee",7,2015-07-16,1,0,2015,7,16,Chattanooga, Tennessee,"Chattanooga, Hamilton County, Tennessee, USA","Chattanooga, Hamilton County, Tennessee, USA","(35.0456297, -85.3096801)",35.0456297,-85.3096801,"2015 Chattanooga
shootings: A man
committed a drive-by
shooting at a
military recruitment
center in a strip
mall, wounding one
Marine. With police
in pursuit, he drove
to a U.S. Navy
Reserve center and
rammed his vehicle
through a gate. He
fatally wounded a
Navy sailor, killed
four Marines, and
wounded a police
officer before being
killed by
police.[80] The FBI
later determined the
gunman had been
motivated by
propaganda published
by terrorist
organizations.[81]","Chattanooga, Tennessee"
73,"June 17, 2015",9,"Charleston church shooting: A white supremacist killed nine black people during a prayer service at the Emanuel African Methodist Episcopal Church, wounding one other. He was taken into custody by police, and later said that he committed the shootings in an attempt to start a ""race war"".[82][83]",1,"Charleston, South Carolina",10,2015-06-17,0,0,2015,6,17,Charleston, South Carolina,"Charleston, Charleston County, South Carolina, USA","Charleston, Charleston County, South Carolina, USA","(32.7876012, -79.9402728)",32.7876012,-79.9402728,"Charleston church
shooting: A white
supremacist killed
nine black people
during a prayer
service at the
Emanuel African
Methodist Episcopal
Church, wounding one
other. He was taken
into custody by
police, and later
said that he
committed the
shootings in an
attempt to start a
""race war"".[82][83]","Charleston, South Carolina"
74,"May 17, 2015",9,"2015 Waco shootout: Gunfire broke out at a restaurant where members of several motorcycle clubs had gathered to discuss political rights for motorcyclists. Members of the clubs and police were both involved in the gunfire. Nine people were killed and eighteen were injured in the shootout, all members of the motorcycle clubs. The shooting may have resulted from a territorial dispute between two of the motorcycle clubs.[84]",18,"Waco, Texas",27,2015-05-17,0,0,2015,5,17,Waco, Texas,"Waco, McLennan County, Texas, USA","Waco, McLennan County, Texas, USA","(31.549333, -97.1466695)",31.549333,-97.1466695,"2015 Waco shootout:
Gunfire broke out at
a restaurant where
members of several
motorcycle clubs had
gathered to discuss
political rights for
motorcyclists.
Members of the clubs
and police were both
involved in the
gunfire. Nine people
were killed and
eighteen were
injured in the
shootout, all
members of the
motorcycle clubs.
The shooting may
have resulted from a
territorial dispute
between two of the
motorcycle
clubs.[84]","Waco, Texas"
75,"February 26, 2015",8,2015 Tyrone shooting: A man killed seven people and wounded one after going door-to-door and shooting people in four separate homes. Four of the people he killed were family members. The man then killed himself. The shooting was possibly motivated by the man finding his mother dead from natural causes.[85],1,"Tyrone, Missouri",9,2015-02-26,1,0,2015,2,26,Tyrone, Missouri,"Tyrone, Texas County, Missouri, 65464, USA","Tyrone, Texas County, Missouri, 65464, USA","(37.2033832, -91.8765399)",37.2033832,-91.8765399,"2015 Tyrone
shooting: A man
killed seven people
and wounded one
after going door-to-
door and shooting
people in four
separate homes. Four
of the people he
killed were family
members. The man
then killed himself.
The shooting was
possibly motivated
by the man finding
his mother dead from
natural causes.[85]","Tyrone, Missouri"
76,"December 15, 2014",6,"2014 Montgomery County shootings: Six people were found dead and one wounded in three locations across Montgomery County. The shooter was found dead the next day after committing suicide by overdose. One of the victims was the shooter's ex-wife, the others were her relatives.[86]",1,"Montgomery County, Pennsylvania",7,2014-12-15,0,0,2014,12,15,Montgomery County, Pennsylvania,"Montgomery County, Pennsylvania, USA","Montgomery County, Pennsylvania, USA","(40.2154361, -75.3702305)",40.2154361,-75.3702305,"2014 Montgomery
County shootings:
Six people were
found dead and one
wounded in three
locations across
Montgomery County.
The shooter was
found dead the next
day after committing
suicide by overdose.
One of the victims
was the shooter's
ex-wife, the others
were her
relatives.[86]","Montgomery County, Pennsylvania"
77,"December 12, 2014",0,Rosemary Anderson High School shooting: A perpetrator shot and injured three students and an adult outside of the school.[87],4,"Portland, Oregon",4,2014-12-12,0,0,2014,12,12,Portland, Oregon,"Portland, Multnomah County, Oregon, USA","Portland, Multnomah County, Oregon, USA","(45.5202471, -122.6741949)",45.5202471,-122.6741949,"Rosemary Anderson
High School
shooting: A
perpetrator shot and
injured three
students and an
adult outside of the
school.[87]","Portland, Oregon"
78,"October 24, 2014",5,Marysville Pilchuck High School shooting: A fifteen-year-old killed four people and injured one other in the cafeteria of Marysville Pilchuck High School before killing himself.[88],1,"Marysville, Washington",6,2014-10-24,0,0,2014,10,24,Marysville, Washington,"Marysville, Snohomish County, Washington, USA","Marysville, Snohomish County, Washington, USA","(48.0517429, -122.1768209)",48.0517429,-122.1768209,"Marysville Pilchuck
High School
shooting: A fifteen-
year-old killed four
people and injured
one other in the
cafeteria of
Marysville Pilchuck
High School before
killing himself.[88]","Marysville, Washington"
79,"July 9, 2014",6,2014 Harris County shooting: A man is suspected of killing six of his family members and wounding a seventh. He was arrested after a brief chase and a standoff that lasted several hours.[89],1,"Spring, Texas",7,2014-07-09,0,0,2014,7,9,Spring, Texas,"Texas, USA","Texas, USA","(31.8160381, -99.5120986)",31.8160381,-99.5120986,"2014 Harris County
shooting: A man is
suspected of killing
six of his family
members and wounding
a seventh. He was
arrested after a
brief chase and a
standoff that lasted
several hours.[89]","Spring, Texas"
80,"May 23, 2014",7,"2014 Isla Vista killings: Several hours after stabbing and killing his three roommates, a man drove to a sorority house near the University of California, Santa Barbara and knocked on the door. After receiving no answer, he began shooting at people nearby, killing two members of another sorority and injuring a third. He then returned to his car and continued to shoot at and ram people with his vehicle before killing himself with a gunshot.[90] The attack is believed to have been motivated by the killer's hatred of women and frustration with his dating and family life.[91]",13,"Isla Vista, California",20,2014-05-23,1,7,2014,5,23,Isla Vista, California,"Isla Vista, Santa Barbara County, California, 93106, USA","Isla Vista, Santa Barbara County, California, 93106, USA","(34.4133801, -119.8615131)",34.4133801,-119.8615131,"2014 Isla Vista
killings: Several
hours after stabbing
and killing his
three roommates, a
man drove to a
sorority house near
the University of
California, Santa
Barbara and knocked
on the door. After
receiving no answer,
he began shooting at
people nearby,
killing two members
of another sorority
and injuring a
third. He then
returned to his car
and continued to
shoot at and ram
people with his
vehicle before
killing himself with
a gunshot.[90] The
attack is believed
to have been
motivated by the
killer's hatred of
women and
frustration with his
dating and family
life.[91]","Isla Vista, California"
81,"April 13, 2014",3,"Overland Park Jewish Community Center shooting: A white supremacist went to the Jewish Community Center of Greater Kansas City and Village Shalom and killed three, two near the community center and one at the retirement community.[92]",0,"Overland Park, Kansas",3,2014-04-13,0,0,2014,4,13,Overland Park, Kansas,"Overland Park, Johnson County, Kansas, USA","Overland Park, Johnson County, Kansas, USA","(38.9742502, -94.6851702)",38.9742502,-94.6851702,"Overland Park Jewish
Community Center
shooting: A white
supremacist went to
the Jewish Community
Center of Greater
Kansas City and
Village Shalom and
killed three, two
near the community
center and one at
the retirement
community.[92]","Overland Park, Kansas"
82,"April 2, 2014",4,"2014 Fort Hood shooting: After being denied leave from the Fort Hood military base where he was stationed, a man killed three people and injured fourteen before killing himself.[93]",14,"Fort Hood, Texas",18,2014-04-02,1,0,2014,4,2,Fort Hood, Texas,"Fort Hood, Middle Crossing, Coryell County, Texas, 76544, USA","Fort Hood, Middle Crossing, Coryell County, Texas, 76544, USA","(31.20143875, -97.7717578135356)",31.20143875,-97.7717578135356,"2014 Fort Hood
shooting: After
being denied leave
from the Fort Hood
military base where
he was stationed, a
man killed three
people and injured
fourteen before
killing himself.[93]","Fort Hood, Texas"
83,"November 1, 2013",1,"2013 Los Angeles International Airport shooting: A man entered the Los Angeles International Airport, killed a TSA agent, and wounded three other people. He was injured when shot several times by police.[94]",4,"Los Angeles International Airport, Los Angeles, California",5,2013-11-01,0,1,2013,11,1,Los Angeles International Airport, California,"Los Angeles International Airport, Service road S, Westchester, Playa del Rey, LA, Los Angeles County, California, 90045-5802, USA","Los Angeles International Airport, Service road S, Westchester, Playa del Rey, LA, Los Angeles County, California, 90045-5802, USA","(33.94216755, -118.421376298728)",33.94216755,-118.421376298728,"2013 Los Angeles
International
Airport shooting: A
man entered the Los
Angeles
International
Airport, killed a
TSA agent, and
wounded three other
people. He was
injured when shot
several times by
police.[94]","Los Angeles International Airport, California"
84,"September 16, 2013",13,Washington Navy Yard shooting: A gunman entered the Naval Sea Systems Command headquarters in the Washington Navy Yard with a civilian contractor pass. He killed twelve people and injured eight before being killed by police.[95],8,Washington D.C.,21,2013-09-16,1,0,2013,9,16,Washington D.C.,Washington D.C.,"Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,"Washington Navy Yard
shooting: A gunman
entered the Naval
Sea Systems Command
headquarters in the
Washington Navy Yard
with a civilian
contractor pass. He
killed twelve people
and injured eight
before being killed
by police.[95]","Washington D.C.,Washington D.C."
85,"August 5, 2013",3,"Ross Township Municipal Building shooting: A man entered a meeting of township supervisors and killed three people, injuring three others. The gunman was also injured when his gun went off and hit his own leg as two men wrestled him to the ground and took away his weapon. The shooting was suspected to be motivated by a longstanding feud in which the gunman's property rights had been taken away. He was sentenced to life in prison.[96][97]",4,"Saylorsburg, Pennsylvania",7,2013-08-05,0,1,2013,8,5,Saylorsburg, Pennsylvania,"Saylorsburg, Monroe County, Pennsylvania, 18353, USA","Saylorsburg, Monroe County, Pennsylvania, 18353, USA","(40.8956361, -75.3235213)",40.8956361,-75.3235213,"Ross Township
Municipal Building
shooting: A man
entered a meeting of
township supervisors
and killed three
people, injuring
three others. The
gunman was also
injured when his gun
went off and hit his
own leg as two men
wrestled him to the
ground and took away
his weapon. The
shooting was
suspected to be
motivated by a
longstanding feud in
which the gunman's
property rights had
been taken away. He
was sentenced to
life in
prison.[96][97]","Saylorsburg, Pennsylvania"
86,"July 26, 2013",7,2013 Hialeah shooting: A man lit his apartment on fire and killed six other people in his apartment building before being killed by a SWAT team.[98],0,"Hialeah, Florida",7,2013-07-26,1,0,2013,7,26,Hialeah, Florida,"Hialeah, Miami-Dade County, Florida, USA","Hialeah, Miami-Dade County, Florida, USA","(25.8575963, -80.2781057)",25.8575963,-80.2781057,"2013 Hialeah
shooting: A man lit
his apartment on
fire and killed six
other people in his
apartment building
before being killed
by a SWAT team.[98]","Hialeah, Florida"
87,"June 7, 2013",6,"2013 Santa Monica shooting: A man killed two people in a residence before lighting it on fire. He continued to shoot at people while moving towards Santa Monica College, then attempted to carjack a passing vehicle. After firing rounds at a passing bus, he ran into the college library and continued shooting. He killed five people and injured five others before being killed by police.[99]",5,"Santa Monica, California",11,2013-06-07,1,0,2013,6,7,Santa Monica, California,"Santa Monica, Los Angeles County, California, USA","Santa Monica, Los Angeles County, California, USA","(34.0250724, -118.4965129)",34.0250724,-118.4965129,"2013 Santa Monica
shooting: A man
killed two people in
a residence before
lighting it on fire.
He continued to
shoot at people
while moving towards
Santa Monica
College, then
attempted to carjack
a passing vehicle.
After firing rounds
at a passing bus, he
ran into the college
library and
continued shooting.
He killed five
people and injured
five others before
being killed by
police.[99]","Santa Monica, California"
